"STATE_CODE","state","YEAR","annual_rainfall_mean","flood_rate_percent","flood_records","district_records","forest_area_ha","forest_area_million_ha"
"112","Sabah","2006","3590.77571428571","64.2857142857143","9","14","3503186","3.503186"
"112","Sabah","2007","2793.72285714286","35.7142857142857","5","14","3604867","3.604867"
"112","Sabah","2008","3117.36571428571","21.4285714285714","3","14","3604867","3.604867"
"112","Sabah","2009","2829.00428571429","42.8571428571429","6","14","3604894","3.604894"
"112","Sabah","2010","2764.32142857143","64.2857142857143","9","14","3606647","3.606647"
"113","Sarawak","2003","3468.31133333333","13.3333333333333","2","15","4836800","4.8368"
"113","Sarawak","2004","3227.18066666667","6.66666666666667","1","15","4806300","4.8063"
"113","Sarawak","2005","2950.956","6.66666666666667","1","15","4779900","4.7799"
"113","Sarawak","2006","3101.11333333333","13.3333333333333","2","15","4778300","4.7783"
"113","Sarawak","2007","3663.448","40","6","15","4692900","4.6929"
"113","Sarawak","2008","3976.84333333333","66.6666666666667","10","15","4681543","4.681543"
"113","Sarawak","2009","3586.40333333333","73.3333333333333","11","15","4583609","4.583609"
"113","Sarawak","2010","3665.646","6.66666666666667","1","15",,
