date,year,state,area,area_million_ha
2011-01-01,2011,Pulau Pinang,6098.0,0.006098
2011-01-01,2011,Sabah,3606647.0,3.606647
2011-01-01,2011,Selangor,250129.0,0.250129
2011-01-01,2011,Terengganu,539234.0,0.539234
2011-01-01,2011,W.P. Kuala Lumpur,63.0,6.3e-05
2012-01-01,2012,Johor,432208.0,0.432208
2012-01-01,2012,Kedah,325463.0,0.325463
2012-01-01,2012,Kelantan,623849.0,0.623849
2012-01-01,2012,Melaka,5151.0,0.005151
2012-01-01,2012,Negeri Sembilan,154578.0,0.154578
2012-01-01,2012,Pahang,1562902.0,1.562902
2012-01-01,2012,Perak,983136.0,0.983136
2012-01-01,2012,Perlis,10799.0,0.010799
2012-01-01,2012,Pulau Pinang,6098.0,0.006098
2012-01-01,2012,Sabah,3609249.0,3.609249
2012-01-01,2012,Sarawak,4337164.0,4.337164
2012-01-01,2012,Selangor,250129.0,0.250129
2012-01-01,2012,Terengganu,539232.0,0.539232
2012-01-01,2012,W.P. Kuala Lumpur,68.0,6.8e-05
2013-01-01,2013,Johor,432209.0,0.432209
2013-01-01,2013,Kedah,341976.0,0.341976
2013-01-01,2013,Kelantan,623849.0,0.623849
2013-01-01,2013,Melaka,5151.0,0.005151
2013-01-01,2013,Negeri Sembilan,154676.0,0.154676
2013-01-01,2013,Pahang,1562902.0,1.562902
2013-01-01,2013,Perak,1003616.0,1.003616
2013-01-01,2013,Perlis,10799.0,0.010799
2013-01-01,2013,Pulau Pinang,6060.0,0.00606
2013-01-01,2013,Sabah,3614730.0,3.61473
2013-01-01,2013,Sarawak,4368066.0,4.368066
2013-01-01,2013,Selangor,250129.0,0.250129
2013-01-01,2013,Terengganu,544855.0,0.544855
2013-01-01,2013,W.P. Kuala Lumpur,68.0,6.8e-05
2014-01-01,2014,Johor,432184.0,0.432184
2014-01-01,2014,Kedah,341976.0,0.341976
2014-01-01,2014,Kelantan,623849.0,0.623849
2014-01-01,2014,Melaka,5093.0,0.005093
2014-01-01,2014,Negeri Sembilan,155825.0,0.155825
2014-01-01,2014,Pahang,1562900.0,1.5629
2014-01-01,2014,Perak,999967.0,0.999967
2014-01-01,2014,Perlis,10799.0,0.010799
2014-01-01,2014,Pulau Pinang,6060.0,0.00606
2014-01-01,2014,Sabah,3615066.0,3.615066
2014-01-01,2014,Sarawak,4352828.0,4.352828
2014-01-01,2014,Selangor,250129.0,0.250129
2014-01-01,2014,Terengganu,544937.0,0.544937
2014-01-01,2014,W.P. Kuala Lumpur,68.0,6.8e-05
2015-01-01,2015,Johor,414637.0,0.414637
2015-01-01,2015,Kedah,341976.0,0.341976
2015-01-01,2015,Kelantan,623849.0,0.623849
2015-01-01,2015,Melaka,5104.0,0.005104
2015-01-01,2015,Negeri Sembilan,155708.0,0.155708
2015-01-01,2015,Pahang,1563993.0,1.563993
2015-01-01,2015,Perak,999488.0,0.999488
2015-01-01,2015,Perlis,10799.0,0.010799
2015-01-01,2015,Pulau Pinang,6060.0,0.00606
2015-01-01,2015,Sabah,3551247.0,3.551247
2015-01-01,2015,Sarawak,4320302.0,4.320302
2015-01-01,2015,Selangor,250129.0,0.250129
2015-01-01,2015,Terengganu,544937.0,0.544937
2015-01-01,2015,W.P. Kuala Lumpur,68.0,6.8e-05
2016-01-01,2016,Johor,414628.0,0.414628
2016-01-01,2016,Kedah,341976.0,0.341976
2016-01-01,2016,Kelantan,635437.0,0.635437
2016-01-01,2016,Melaka,5137.0,0.005137
2016-01-01,2016,Negeri Sembilan,155650.0,0.15565
2016-01-01,2016,Pahang,1559913.0,1.559913
2016-01-01,2016,Perak,999473.0,0.999473
2016-01-01,2016,Perlis,10799.0,0.010799
2016-01-01,2016,Pulau Pinang,6060.0,0.00606
2016-01-01,2016,Sabah,3540274.0,3.540274
2016-01-01,2016,Sarawak,4317939.0,4.317939
2016-01-01,2016,Selangor,250129.0,0.250129
2016-01-01,2016,Terengganu,544883.0,0.544883
2016-01-01,2016,W.P. Kuala Lumpur,68.0,6.8e-05
2017-01-01,2017,Johor,332749.0,0.332749
2017-01-01,2017,Kedah,341976.0,0.341976
2017-01-01,2017,Kelantan,613275.0,0.613275
2017-01-01,2017,Melaka,5138.0,0.005138
2017-01-01,2017,Negeri Sembilan,155650.0,0.15565
2017-01-01,2017,Pahang,1558898.0,1.558898
2017-01-01,2017,Perak,995216.0,0.995216
2017-01-01,2017,Perlis,10615.0,0.010615
2017-01-01,2017,Pulau Pinang,5101.0,0.005101
2017-01-01,2017,Sabah,3540749.0,3.540749
2017-01-01,2017,Sarawak,4274825.0,4.274825
2017-01-01,2017,Selangor,250129.0,0.250129
2017-01-01,2017,Terengganu,542411.0,0.542411
2017-01-01,2017,W.P. Kuala Lumpur,68.0,6.8e-05
2018-01-01,2018,Johor,332749.0,0.332749
2018-01-01,2018,Kedah,341976.0,0.341976
2018-01-01,2018,Kelantan,613275.0,0.613275
2018-01-01,2018,Melaka,5199.0,0.005199
2018-01-01,2018,Negeri Sembilan,155549.0,0.155549
2018-01-01,2018,Pahang,1559385.0,1.559385
2018-01-01,2018,Perak,988914.0,0.988914
2018-01-01,2018,Perlis,10615.0,0.010615
2018-01-01,2018,Pulau Pinang,5101.0,0.005101
2018-01-01,2018,Sabah,3540749.0,3.540749
2018-01-01,2018,Sarawak,4209053.0,4.209053
2018-01-01,2018,Selangor,250210.0,0.25021
2018-01-01,2018,Terengganu,540309.0,0.540309
2018-01-01,2018,W.P. Kuala Lumpur,68.0,6.8e-05
2019-01-01,2019,Johor,334292.0,0.334292
2019-01-01,2019,Kedah,341976.0,0.341976
2019-01-01,2019,Kelantan,629775.0,0.629775
2019-01-01,2019,Melaka,5199.0,0.005199
2019-01-01,2019,Negeri Sembilan,155492.0,0.155492
2019-01-01,2019,Pahang,1550687.0,1.550687
2019-01-01,2019,Perak,988591.0,0.988591
2019-01-01,2019,Perlis,10628.0,0.010628
2019-01-01,2019,Pulau Pinang,5101.0,0.005101
2019-01-01,2019,Sabah,3541266.0,3.541266
2019-01-01,2019,Sarawak,3964880.0,3.96488
2019-01-01,2019,Selangor,250208.0,0.250208
2019-01-01,2019,Terengganu,540309.0,0.540309
2019-01-01,2019,W.P. Kuala Lumpur,68.0,6.8e-05
2020-01-01,2020,Johor,334292.0,0.334292
2020-01-01,2020,Kedah,341976.0,0.341976
2020-01-01,2020,Kelantan,629881.0,0.629881
2020-01-01,2020,Melaka,5199.0,0.005199
2020-01-01,2020,Negeri Sembilan,155143.0,0.155143
2020-01-01,2020,Pahang,1545610.0,1.54561
2020-01-01,2020,Perak,987632.0,0.987632
2020-01-01,2020,Perlis,10629.0,0.010629
2020-01-01,2020,Pulau Pinang,5387.0,0.005387
